image,generated_caption
247637795.jpg,a woman in a black shirt and a man in a red shirt are standing near the water.
24772114.jpg,a construction worker is examining the construction of a building.
248151015.jpg,a man in a gray shirt and jeans is leaning over a wheelbarrow.
2486364531.jpg,a young boy is playing with a yellow balloon.
2489602993.jpg,a man in a black motorcycle suit is riding a motorcycle.
2493699743.jpg,a person is putting a red plastic container on a countertop.
2496399593.jpg,a woman with long brown hair and a gray jacket smiles at the camera.
2500028059.jpg,a skateboarder in midair with a crowd in the background.
2500467647.jpg,a man in a blue shirt is using a microscope to examine a circuit board.
2501742763.jpg,a black dog runs through the grass.
2501968935.jpg,a man in a purple shirt and leather pants is standing on a sidewalk.
2507831979.jpg,a woman in a black shirt is sitting at a table with a red cup.
2512450458.jpg,two men in life jackets are rafting in rough water.
2512876666.jpg,a man and his dog stand on a large mound of black sand.
2520403742.jpg,a man in a black suit is playing guitar and a man in a red shirt is singing.
2524768589.jpg,a group of people posing for a picture.
2525228677.jpg,three men are standing on a pier near the water.
2526989006.jpg,a bride and groom are embracing each other in front of a crowd of people.
2528076469.jpg,a man with a beard and a flowered shirt stands in a deserted area.
2537584620.jpg,construction workers working on a train track.
2537767592.jpg,a man in a blue and orange uniform is sitting on a train.
2543247940.jpg,a white dog is chewing on a stick.
2545192257.jpg,two dogs are playing with a stuffed animal.
2549253807.jpg,a boy and a girl are riding bikes.
2549946671.jpg,a young boy in a red shirt is standing in front of a window.
2549950283.jpg,a man and a woman are dancing outdoors.
2552723989.jpg,a boy is lying on the ground next to a bicycle.
2555039117.jpg,a woman in a black and white dress is speaking into a microphone while a man in a white shirt
2560482030.jpg,a young girl in a pink skirt is playing tennis.
2564888404.jpg,a dog is running through the water.
2565087972.jpg,a young boy is pouring water out of a orange bucket.
257180093.jpg,a man is getting his haircut in a barber shop.
2572584029.jpg,a group of people are standing in a library.
2572988623.jpg,a group of young men are sitting in a classroom.
257456026.jpg,a woman in a pink shirt and jeans is walking through a field of vines.
257699783.jpg,a man in a hat walks along a beach with cattle.
257765654.jpg,a man in a red shirt and tan pants is carrying a bunch of flowers on his head.
2580215443.jpg,a group of people standing in a line.
2580707208.jpg,a man in a brown shirt and tie is balancing a blue and red hat on his head.
2581218229.jpg,a man is sitting at a desk with a computer and a cup of coffee.
2581472438.jpg,a man in a red shirt is standing in front of a whiteboard.
258501174.jpg,a group of men in yellow shirts are walking down the street.
2596293451.jpg,a man is sitting in a kayak at a book store.
2600386812.jpg,a brown dog is standing in the surf.
2602827193.jpg,a man in a black shirt is playing a keyboard and another man in a black shirt is playing drums
2606433181.jpg,two white dogs run along a grassy path.
2606809801.jpg,a large group of people are running a race.
2608116127.jpg,a woman in a colorful dress and sandals is standing next to a dog.
2616379779.jpg,a man in a blue suit is laying on a counter.
2616402277.jpg,a young man in a black sweatshirt is sitting down and working on a project.
2616673985.jpg,a woman in black is leading a black and white dog around a white and black leashed dog.
2623023009.jpg,two young girls in a swimming pool.
2629334536.jpg,a toddler is swinging on a swing set.
2635248278.jpg,a man in a blue shirt is standing in the water with a yellow bucket in his hand.
2642624688.jpg,a man in a white hat and blue overalls is walking down the street.
2645175777.jpg,a woman sits in a fruit stand.
2656914235.jpg,a large group of people sitting in lawn chairs in front of a large white building.
2660302128.jpg,a little girl in a yellow shirt and blue shorts is standing on a sheet of plastic.
2661437618.jpg,a dog is running on the floor with a toy in its mouth.
2662570182.jpg,a man pushes a young girl in a blue toy car.
2664820158.jpg,a woman is sitting on a couch with her feet on the couch.
2665658462.jpg,a boy in a red shirt is holding a white ball in a sand pit.
2668179897.jpg,a man is carving a bird out of a tree stump.
2668574576.jpg,"three girls are standing on a balcony, one is holding a drink and the other is holding a cell"
267015208.jpg,a green beetle is parked in front of a large building.
267062347.jpg,a man with a beard and a mustache is playing a guitar.
2675643250.jpg,a group of people dressed in red and gold are walking in a courtyard.
2678315125.jpg,a woman in a blue hat and blue tank top is running on the beach.
26805148.jpg,"two young blond - haired children are sitting in a vegetable garden, one is holding a red object and"
2681215810.jpg,a man in a white shirt and khaki shorts is walking in the grass holding a red object
2686141763.jpg,a group of women in green shirts are riding in a boat.
2697822530.jpg,a group of people are holding hands in a circle.
2698119128.jpg,a girl in a red swimsuit jumps into a pool.
2698666984.jpg,a man running in the rain.
2701635619.jpg,a boy with a blue bandanna around his head is holding a skateboard.
2702506716.jpg,a dog is hiding under a gray step.
2706469334.jpg,two boys are running on the beach.
271025171.jpg,a belly dancer performs in a white skirt with a blue sash around her waist.
2714703706.jpg,two dogs are fighting over a toy.
2721786210.jpg,four people walking on train tracks in the snow.
2738092811.jpg,three people are in the water with a pink life jacket and a life buoy.
2746072388.jpg,a baby is eating cake with his mouth.
274616466.jpg,two young children are eating food.
274646416.jpg,a man and a woman are smiling for the camera.
2746839158.jpg,two boys playing in a fountain.
2747895243.jpg,a group of people are playing instruments in a room.
2748726146.jpg,a man with a shaved head is playing a bass guitar.
2748729903.jpg,a person is parasailing in a lake.
2748929011.jpg,a man in a black and white striped shirt is playing golf.
2750709242.jpg,a man in a hat is shaping something out of wood.
275170947.jpg,a group of asian people are standing and sitting.
275401000.jpg,two dogs are playing with a tennis ball.
2755595842.jpg,a person wearing animal print barefoot standing on a red ball.
275854404.jpg,a man and a woman are walking down a street.
2766726291.jpg,a young blond boy is holding a pipe in his mouth.
277167533.jpg,a man is cooking food in a dark place.
2772928973.jpg,a man in a gray suit is shaking hands with a woman in a pink dress.
2773139170.jpg,a soccer player in a red uniform is making a diving kick.
2774020195.jpg,two young boys are playing together.
2788933694.jpg,a man in a red shirt is looking through a telescope at a crowd.
2789150281.jpg,a man in a blue shirt and khaki pants is walking down a street.
2792212974.jpg,a boy is splashing in the water.
2794586343.jpg,a group of people are shopping at an outdoor farmers market.
2809406383.jpg,a young boy is playing checkers with his parents.
2810456728.jpg,a band is playing on stage.
2815256108.jpg,two men are standing in front of a red postbox.
2815788792.jpg,a man in a white shirt is playing with a dog.
2817847072.jpg,a young boy in a green jersey is running on a soccer field.
2819188080.jpg,people walking down the street carrying protest signs.
2823103057.jpg,a group of young people are posing for a picture in a pool.
282481027.jpg,a man in a straw hat is working on a construction project.
2826030193.jpg,a toddler in a red coat is playing on a red table.
2830276969.jpg,a man in a green shirt is sitting at a desk with a computer.
2830561291.jpg,a young boy is holding a silver object in his hands.
2831215155.jpg,a man is taking a picture of a car in a field.
2837740149.jpg,two young children are playing on a swing.
2837808847.jpg,two dogs are running in the surf.
2839397766.jpg,a woman is standing in front of a counter in a restaurant.
284279868.jpg,two dogs are playing in the snow.
2847541837.jpg,three people are playing on the beach.
2855594918.jpg,a man in an orange shirt and helmet rides a bike.
2856456013.jpg,two boys are playing soccer.
2863848437.jpg,a young girl is sitting on the ground in front of a soccer goal.
2867736861.jpg,a brown dog is splashing with a blue ball in the water.
2877637572.jpg,a brown dog is running through the grass with a yellow toy in its mouth.
2886533440.jpg,a man in a brown jacket and khaki pants is jumping in the air in the desert.
2887750774.jpg,a brown dog is running through the water.
2889481764.jpg,a man is painting a picture of a castle.
2891961886.jpg,a man in a white shirt and blue jeans is riding a skateboard on a ledge.
2892844237.jpg,a man in a white shirt and blue cap is sitting on the ground and is sewing.
2898304260.jpg,a man in a white shirt is skateboarding.
2899549022.jpg,a group of people are standing outside of a house.
2900048238.jpg,a man in a blue shirt is standing in a crowd of people.
2901375404.jpg,a man is working on a building with a dome and a golden dome.
2905942129.jpg,a young blond boy and a blond girl are sitting on a blue swing.
2906329398.jpg,two young asian children sit on a wooden bench.
2908493594.jpg,a man sleeping on a park bench.
2908859957.jpg,a young girl in a yellow dress is jumping through a rope.
2909982588.jpg,a young man is eating a snack.
2911919938.jpg,a shirtless man is standing in a shower and is holding a white shower head.
2913972180.jpg,a man and his dog are playing on the beach.
2915400809.jpg,a woman is standing in the water with a bundle of wood in her hands.
2917480555.jpg,a woman in a black jacket is looking at a piece of paper.
2918769188.jpg,a swimmer in a race in a pool.
2922302990.jpg,two men are having drinks and eating.
2924908529.jpg,a group of girls in red and black outfits.
292780636.jpg,an older man in a black hat is leaning against a brick wall.
2931721215.jpg,a hiker is standing on a rocky ridge with snow covered mountains in the background.
293281150.jpg,two women are standing outside of a coffee shop.
2933516096.jpg,a group of people holding a banner.
2933643390.jpg,a football player is tackled by another player.
2934573544.jpg,a black dog is running in the grass.
2935921151.jpg,a girl in a swimming cap is swimming in a pool.
29389675.jpg,a young woman with red - hair is holding a brown box.
2941668295.jpg,three men in fireman uniforms are standing in front of a car.
2944647707.jpg,a man in a blue shirt sweeping up trash.
2944836001.jpg,a man in a black shirt is throwing a ball for a dog.
2947452329.jpg,a man in a blue shirt is running on a soccer field.
295433203.jpg,two dogs are playing in the dirt.
2957702898.jpg,a woman in a black and white striped shirt is taking pictures of a red car.
2957763153.jpg,a man in red and yellow swim trunks is standing in the sand next to a yellow and blue sign
2960033435.jpg,a dog jumping up in the air while a person holds a stick.
2960717658.jpg,a group of people are standing around a kitchen counter.
2965189317.jpg,a man is leaning over a wall with a stick in his hand and balls in the floor.
2969545002.jpg,a man and a woman are standing in the woods.
2975018306.jpg,a brown dog is standing in the grass with a blue toy in its mouth.
2977846190.jpg,a man in a green hat is sitting on a train.
2991575785.jpg,a woman kicks a man in the air.
2997939824.jpg,a group of men in military fatigues are gathering items.
3000959758.jpg,a group of bicyclists are riding down the street at night.
3001612175.jpg,a man in a white shirt and jeans is walking up some steps with a woman in a black jacket
3014080715.jpg,two dogs are pulling a sled through the snow.
3015891201.jpg,two women pose for a picture while holding a poster.
3018895758.jpg,a baby is being held up by a doctor.
3020714541.jpg,a bride and groom share a kiss.
3029715635.jpg,a black dog is running through a field with a blue toy in its mouth.
303607405.jpg,a dog is shaking off the water.
304039165.jpg,two women are walking down a subway tunnel.
3044500219.jpg,three women in black dresses pose for a picture.
3045769443.jpg,a man in a blue sweatshirt is looking at his cellphone.
3046902524.jpg,a young boy in a blue sweater and shorts walks down a path.
3050794213.jpg,a young boy in a brown shirt and blue shoes is sitting on the ground.
3052038928.jpg,a group of young adults are sitting on a striped couch.
3052440036.jpg,a man and a woman are dancing together.
305512164.jpg,"three people are standing on a rocky path, one of which is made of rocks and the other is"
3055716848.jpg,a boy is doing a skateboard trick in a skate park.
3057862887.jpg,a woman and a young girl are sitting together.
3062273350.jpg,a group of men walking down a street.
3065560742.jpg,two hockey players collide over each other on the ice.
3067467271.jpg,a man in a red sweater and blue jeans is sitting on a bench with two other men standing and
3069216757.jpg,a woman in a pink and orange striped shirt raises her arms up in the air.
307040440.jpg,a boy is playing in the water with a yellow object.
3072730593.jpg,a woman with a hat and feather in her hair.
307694396.jpg,a man and two women are looking at food.
308487515.jpg,a small bird is perched on a metal fence.
3085590738.jpg,a woman in a brown jacket is standing at a podium.
309049466.jpg,a dog is running through the snow.
309059803.jpg,a man in a gray shirt is looking at fish in a market.
3091594712.jpg,a young girl in a light blue dress is looking at her reflection in a mirror.
3091673351.jpg,"a woman is sitting at a table with a book, a cup, and a picture frame."
3091912922.jpg,a dog is running with a yellow ball in its mouth.
3094302882.jpg,a crowd of people carrying placares and banners.
309612584.jpg,two little girls are hiding among the leaves.
3099965396.jpg,a man in a black coat is standing in the middle of a street.
3120921482.jpg,a young boy is sitting in a chair with a guitar.
3124838157.jpg,three people stand in front of a store.
3126752627.jpg,a basketball player in orange attempts to block a player in white.
3126773489.jpg,a basketball player in orange is going to the basket while being guarded by a player in orange.
3126795109.jpg,a man in a miami basketball uniform is holding a basketball.
3129369905.jpg,a man with a beard is sitting in a plane.
3134092148.jpg,a surfer in a wetsuit is riding a wave.
3136688093.jpg,a man and woman are standing on stage with smoke and light in the background.
3143982558.jpg,a baby in pink striped pajamas is sitting on a couch with a woman and a black dog.
314544433.jpg,a woman is sitting at a table outside of a restaurant.
315268107.jpg,a woman in a blue shirt is working at a cash register.
3155365418.jpg,a snowboarder in an orange jacket is airborne.
3155630117.jpg,two children are laying on the floor with their backs to each other.
3155987659.jpg,a dog is jumping up to catch a frisbee.
3159995270.jpg,a skier is skiing down a snowy hill.
3161943751.jpg,a group of people posing for a picture.
3162940296.jpg,a man in a black suit and a woman in a red dress are standing in front of a table
3163165876.jpg,"two young girls are sitting on a bed, one is holding a remote and the other is watching something"
3168354472.jpg,a little girl in a purple dress is playing with a toy.
3168742591.jpg,a group of children are playing a game.
3170897628.jpg,two boys are playing in a puddle of water.
3178447947.jpg,a young girl in a red shirt and pink pants is holding a green plastic bucket on her head.
3182121297.jpg,a snowboarder in blue is doing a trick.
3183195653.jpg,a woman in a blue and black jacket with a red scarf around her neck and a woman in a
3185409663.jpg,a young girl runs on the beach.
3190159986.jpg,a woman with glasses and a purple scarf is looking at a man with a black shirt.
3190267445.jpg,a group of people are gathered around a vehicle that has been vandalled down.
3192005501.jpg,a woman in a hospital gown is laying in a hospital bed.
3192267612.jpg,a crowd of people are standing in the rain.
3207925823.jpg,a little girl is sitting at a table and talking on the phone.
3210419174.jpg,a group of people posing for a picture.
3213517626.jpg,a man is working on the roof of a house.
3216316010.jpg,a blond girl in black pants and a white shirt is standing on one leg and is spinning a green
3217231044.jpg,a man is holding a baby and smiling.
3224578187.jpg,a dog is playing in a blue plastic tub.
3230432495.jpg,two men stand on a rusted out structure overlooking a body of water.
3232734391.jpg,three men are playing instruments on stage.
3234157487.jpg,two men are shoveling snow in front of a house.
3239021459.jpg,a person is snowboarding on a hill with others in the background.
324379212.jpg,a group of people walking through the woods.
3244171699.jpg,a woman is sitting at a table with two other people.
3245912109.jpg,a group of people standing in front of a large building.
