image,caption
104835889.jpg,A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.
104835889.jpg,A man in a black martial arts suit unsheathes a sword on a training mat in a field.
104835889.jpg,A guy with a sword and traditional fighting gear is getting ready for a fight.
104835889.jpg,"A man in black wields a sword in front of rolling, green hills."
104835889.jpg,One man dressed in black doing karate in a green field.
105077209.jpg,A man with a badge is standing on a wood floor next to a structure.
105077209.jpg,"A security guard stands by a metal, lighted sculpture."
105077209.jpg,A white-haired man in a suit stands in an empty room.
105077209.jpg,A security guard on watch duty at the museum.
105077209.jpg,Security guard at a art museum.
1067180831.jpg,A black and white dog is attempting to catch a yellow and purple object in a low cut yard.
1067180831.jpg,A black dog is jumping up to catch a purple and green toy.
1067180831.jpg,A black and white dog jumps after a yellow toy.
1067180831.jpg,A black and white dog jumps to get the Frisbee.
1067180831.jpg,A dog jumps to catch a toy.
1068427675.jpg,A man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins.
1068427675.jpg,A guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it.
1068427675.jpg,A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes.
1068427675.jpg,A man stand there after rolling a bowling ball down a lane.
1068427675.jpg,Man finished throwing bowling ball towards bowling pins.
107969134.jpg,A mother decides to take her child on a piggyback ride outside their apartment complex.
107969134.jpg,A baby boy in a blue and white striped shirt is sitting on his mother's shoulders.
107969134.jpg,A mother and her young song enjoying a beautiful day outside.
107969134.jpg,A young woman is giving a baby a ride on her shoulders.
107969134.jpg,A woman gives a small child a piggyback ride.
107985741.jpg,A group of people on a riverbank some sitting on the grass some standing.
107985741.jpg,Several people sitting and standing on a grassy area next to the water.
107985741.jpg,Four girls are sitting in the grass while several men stand near them.
107985741.jpg,A group of people are gathered near the water.
107985741.jpg,People gather in a grassy area near a lake.
1082379191.jpg,A man and woman sitting on a deck next to a lake.
1082379191.jpg,A man and a woman are sitting on a dock together.
1082379191.jpg,A shirtless man and a woman sitting on a dock.
1082379191.jpg,A lady and a man with no shirt sit on a dock.
1082379191.jpg,A man and a woman sitting on a dock.
1088767354.jpg,The girl in the salmon colored bikini is standing next to two young people; one is wearing a black outfit and the other is drinking pop.
1088767354.jpg,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress.
1088767354.jpg,A woman wearing a red costume looks at two other people standing on a street.
1088767354.jpg,A young woman in a red sequined costume and feather stands on the sidewalk.
1088767354.jpg,A woman in a red costume to the left of a man and woman standing together.
1089181217.jpg,A light brown dog runs down a path happily.
1089181217.jpg,A brown dog running down a paved pathway
1089181217.jpg,A brown dog running next to grass.
1089181217.jpg,A dog is running down a road.
1089181217.jpg,Energetic brown dog running
108970557.jpg,Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest.
108970557.jpg,A woman dressed in light purple and wearing a corsage clasps her hands in her lap.
108970557.jpg,A woman in lavender with short brown hair is sitting in a large chair.
108970557.jpg,The women is wearing formal clothing while sitting.
108970557.jpg,A short-haired woman is sitting down.
1093737381.jpg,A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk.
1093737381.jpg,A woman in a blue dress stands with a chalk portrait of two children playing by a stream.
1093737381.jpg,A woman stands next to a chalk drawing in front of a barn-like structure.
1093737381.jpg,A woman stands outside near an elaborate chalk illustration.
1093737381.jpg,A woman standing in front of a chalk drawing
10956999.jpg,Two men barbecuing on the grill with a little girl playing in background.
10956999.jpg,There are two people grilling food near a body of water.
10956999.jpg,Two men stand behind a grill near the ocean.
10956999.jpg,Two men barbecuing at a beach.
10956999.jpg,Two men are grilling out.
109823397.jpg,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building.
109823397.jpg,An ATV is airborne over a field in front of a white structure.
109823397.jpg,A man on a four-wheeler jumps near a small building.
109823397.jpg,A man jumps gin the air while riding an ATV
109823397.jpg,Man on four wheeler in the air.
1099034049.jpg,A girl is sitting on the beach and appears to be approaching a hit on the head by a plastic inflated hammer.
1099034049.jpg,A woman with dark hair wearing a bikini is sitting on a beach.
1099034049.jpg,"A young woman, sitting in the sand, has her eyes closed."
1099034049.jpg,A woman on the beach getting hit with a blow up hammer.
1099034049.jpg,A woman sitting on the beach closes her eyes.
110613709.jpg,A gray and black-haired male is holding his glasses in one hand while looking at something in the other hand; surrounded by numerous amounts of machines.
110613709.jpg,Man in blue shirt and black pants is looking at his thumb on one hand while holding glasses in his other hand.
110613709.jpg,"A man in a blue button-up is standing in a room, holding his glasses."
110613709.jpg,Some elements are too small to visualize without a microscope.
110613709.jpg,A man in a laboratory is examining something.
110983128.jpg,"Grocery store employee, dressed in a red apron & a baseball cap, sits on a ledge in front of the store."
110983128.jpg,An elderly man in a white shirt and red apron sits outside a store.
110983128.jpg,A man in a red apron wearing a baseball cap is sitting on a step.
110983128.jpg,Butcher waiting outside the store.
110983128.jpg,A man in an apron sits on a curb.
111069375.jpg,Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps.
111069375.jpg,A man and a woman are performing with fire in front of a crowd in an urban concrete park.
111069375.jpg,"A male and female fire performer, work their craft in front of an audience."
111069375.jpg,Street performers being watched by an interested crowd.
111069375.jpg,Two people performing tricks with fire for a crowd.
111671162.jpg,People are eating in a cafeteria with a wood beam and glass ceiling.
111671162.jpg,People sitting in a restaurant eating and one is reading the paper.
111671162.jpg,A restaurant filled with chairs and consumers.
111671162.jpg,People sitting and eating inside a diner.
111671162.jpg,Lots of people eating in a restaurant.
1118168796.jpg,"One gu, wearing blue gloves and a brown vest, with a large camera pointed toward a Conquest trailer with a solar cell at his feet."
1118168796.jpg,A man looks through a large camera-like device in a field near a camper and some parked vehicles.
1118168796.jpg,"There is a man in black standing near vehicles and a camper, setting up video equipment."
1118168796.jpg,"A man under the black hood of a camera, standing close to vehicles and an RV."
1118168796.jpg,A man looking through telescope at a trailer park.
1131155939.jpg,"A black lav runs into the water on the beach, with swimmers in the distance and sea kelp in the foreground."
1131155939.jpg,"A pile of seaweed sits on the sand, behind it a big black dog is running in the water."
1131155939.jpg,"A dog at the shore of an ocean, with seaweed in foreground."
1131155939.jpg,A black dog runs into the ocean next to a pile of seaweed.
1131155939.jpg,A dog is running in the waves at the beach.
1136497229.jpg,A woman wearing glasses puts her hand on the shoulder of a young child as they sit at a flat wooden surface.
1136497229.jpg,A woman with glasses puts her arm around a very young child who is eating something.
1136497229.jpg,A woman has her arm around a child as the child is eating
1136497229.jpg,A brown-haired woman looks at a baby eating something.
1136497229.jpg,A woman touching her child's shoulder.
114368470.jpg,A youth with long dirty blond-hair wearing a denim jacket and jeans looks at the conveyor belt of groceries while waiting at a checkout line.
114368470.jpg,Boy standing in line in a grocery store with his items on the conveyor belt.
114368470.jpg,A young girl and an older man are checking out at the food store.
114368470.jpg,A father and son at the checkout in a supermarket.
114368470.jpg,Young boy and an older man waiting to check out.
1143882946.jpg,A woman in a blue vest and a sky blue helmet stands with her bicycle in traffic.
1143882946.jpg,A woman with a helmet and a backpack walks next to her bike.
1143882946.jpg,A woman in a helmet rides her bike behind a car.
1143882946.jpg,Women with bike and helmet wait for traffic.
1143882946.jpg,A lady wearing a helmet holding a bike.
1149286224.jpg,There is a shirtless toned white man standing on a balcony of a construction site and holding some sort of tool.
1149286224.jpg,A shirtless man leaning off scaffolding surrounded by hanging yellow fabric.
1149286224.jpg,A guy standing outside with no shirt on looking up at the building.
1149286224.jpg,A shirtless man leans over a balcony looking platform.
1149286224.jpg,Man on scaffolding with yellow background.
1151321278.jpg,A little boy is standing on the beach with a blue bucket and a green shovel while looking at the water.
1151321278.jpg,A young boy in hawaiian style swim trunks holds a plastic bucket and shovel on the shore of the ocean.
1151321278.jpg,A young boy in swimming trunks holds a blue pail and a bright green shovel on a sandy beach.
1151321278.jpg,A boy standing at the beach holding a blue pale and a green shovel.
1151321278.jpg,A young boy looks at the ocean while holding a green shovel.
1154080132.jpg,Two young boys in black are fishing as a young blue in blue watches.
1154080132.jpg,A group of friends are fishing off the loading ramp
1154080132.jpg,Three young boys fish on a man-made structure.
1154080132.jpg,Three young boys are fishing at a lake.
1154080132.jpg,Three young boys fish at a boat launch.
1157215900.jpg,"A woman in an outdoor marketplace, wearing a large cone shaped hat, standing behind two large baskets containing loaves of bread."
1157215900.jpg,A woman in a hat is either selling or buying bread that is stacked in two different woven baskets.
1157215900.jpg,An older person sits on the street to sell their bread.
1157215900.jpg,A person is sitting behind two large baskets of bread.
1157215900.jpg,An older asian woman displaying bread for sale
1158897994.jpg,A man in a baseball cap cleans out a blue colored pit outside where colorful Christmas lights hang above him.
1158897994.jpg,A man in a baseball tee-shirt is sweeping what appears to be an empty pond in a festive looking backyard.
1158897994.jpg,"A man is sweeping a large blue surface that has ""Rock Bowl"" written on it."
1158897994.jpg,A man is sweeping the bottom of an empty shallow pool.
1158897994.jpg,"Guy in a hat, he is cleaning out an empty pool."
1163282319.jpg,"A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open."
1163282319.jpg,"A girl dressed in a red top, a red cap, and light colored shorts, sits on a rock outside."
1163282319.jpg,A young girl wearing yellow flip-flops is sitting on a large boulder.
1163282319.jpg,A little girl in a red hat and yellow flip-flops sits on a rock.
1163282319.jpg,The little girl sits on top of a rock.
1164131282.jpg,A gray dog beside a black and white dog running in green grass.
1164131282.jpg,Two dogs run along a grassy field while one bites the other.
1164131282.jpg,"Two dogs, playing in a field, wrestling with each other"
1164131282.jpg,Two dogs are wrestling in a grassy field.
1164131282.jpg,Two dogs wrestle in a field.
116450583.jpg,A man in an orange safety vest kneels on a train track while repairing a passenger train.
116450583.jpg,A man in a safety vest is kneeling down and working on a train.
116450583.jpg,A man in an orange vest works on fixing a train.
116450583.jpg,A man in an orange vest is working on a train.
116450583.jpg,A repairman is working on a train.
11808546.jpg,A little boy with a pacifier in his mouth stands in a park with a goose.
11808546.jpg,A little child with a red cap and a duck are in the grass.
11808546.jpg,A child looking at camera and bird in background
11808546.jpg,The little boy is in the park near a duck.
11808546.jpg,A young boy was watching a goose.
1186603607.jpg,Eleven men and women in cotton shirts and denim pants walk uphill along a shaded forest trail.
1186603607.jpg,A small group of people hikes through a forest during the day.
1186603607.jpg,A group of people dressed casually are walking in the woods.
1186603607.jpg,A group of people walking up a trail in a wooded area.
1186603607.jpg,A group of people walking down a trail in the woods.
122156386.jpg,People in black coats walk slowly through deep snow to approach a bridge in winter.
122156386.jpg,A few people are walking through the snow to cross a bridge.
122156386.jpg,A group of people walking through the snow near a bridge.
122156386.jpg,Group of people walking on the heavy snow.
122156386.jpg,A family walks through thick snow.
12238723.jpg,A man wearing sunglasses playing a silver guitar.
12238723.jpg,A man wearing black is playing a silver guitar.
12238723.jpg,A man wearing a black jacket is playing guitar.
12238723.jpg,A man is playing a guitar wearing a black shirt
12238723.jpg,A musician plays guitar
12243003.jpg,Four people of all different walks to life share one park bench while one man plays the guitar.
12243003.jpg,Group of three men and women in their late 20s watching an older man play guitar in the park.
12243003.jpg,A man with a guitar is sitting on a bench outside with three other people sitting by him.
12243003.jpg,Four people hanging out on a park bench listening to one of the four play the guitar.
12243003.jpg,Four people sit on a park bench while one plays guitar.
1225687681.jpg,A man in a gray shirt is operating the soundboard for a social gathering.
1225687681.jpg,An audio control person taking care of audio at an event.
1225687681.jpg,A man adjusts the knobs on a large sound mixing board.
1225687681.jpg,A DJ at a public gathering with his equipment.
1225687681.jpg,A sound technician is adjusting a soundboard.
122634567.jpg,A man wearing glasses holds a flip phone in his hand while a woman wearing earrings stands behind him.
122634567.jpg,A woman and man interested in an event going on downtown on a busy walking street.
122634567.jpg,A woman and a man with a cellphone are looking at something in the distance.
122634567.jpg,A woman in a striped shirt and black hair stands facing some booths.
122634567.jpg,A woman is using her cellphone in an urban setting.
1240297429.jpg,A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird.
1240297429.jpg,The dog in a vest leaps in the air and there is a bird flying.
1240297429.jpg,A dog in a number six jersey is running through a field.
1240297429.jpg,A white and tan dog leaps through the air.
1240297429.jpg,A dog is leaping through the grass.
1244485675.jpg,A little boy looks at his reflection in a burnished marble wall.
1244485675.jpg,A boy in a gray and white shirt looking at his reflection.
1244485675.jpg,The young asian boy looks at his reflection in the park.
1244485675.jpg,The child is looking at his reflection in glass.
1244485675.jpg,A boy looking at his reflection.
1245194315.jpg,A man in sunglasses talking to a blond woman in front of a store window.
1245194315.jpg,A fashionable man and woman are smoking in front of a storefront.
1245194315.jpg,A man with a cigarette talks to a woman with a cigarette.
1245194315.jpg,A couple standing in front of a store display window.
1245194315.jpg,A man and woman enjoy a cigarette outside of a shop.
124534466.jpg,A woman in a blue jacket is bending down and holding out her arms for a little boy.
124534466.jpg,A young boy in a black jacket is running towards a woman with outstretched arms.
124534466.jpg,A woman in blue and pink reaching out for a hug from the blond-haired boy
124534466.jpg,A woman wearing a blue jacket reaching out to a child.
124534466.jpg,Blond boy running into a blond woman's arms.
124972799.jpg,A snarling brown and black dog corners a brown long-haired cat under a wooden bench.
124972799.jpg,A cat under the bench hissing with a dog growling and trying to get it.
124972799.jpg,Black and brown dog growling at brown cat hiding under wooden bench.
124972799.jpg,A dog toys with a cat hiding under a bench.
124972799.jpg,A snarling dog approaches a hissing cat.
1250181412.jpg,Six people ride mountain bikes through a jungle environment.
1250181412.jpg,"Men, surrounded by nature, are riding mountain bikes."
1250181412.jpg,There are six men mountain biking in a forest terrain.
1250181412.jpg,Six People riding bikes on a trail in the forest.
1250181412.jpg,A group of people is bike riding in the woods.
1250845715.jpg,"Two women sitting under a tent, one with shirt red-hair, dark clothes drinking and the other laying down playing the guitar in a green top and jean peddle pushers both barefoot."
1250845715.jpg,"2 people sit barefoot in a tent, one with a beer and one lounging playing a guitar."
1250845715.jpg,Two young women drink beer and play guitar in tent at outdoor event.
1250845715.jpg,People in a tent listening to one playing a guitar.
1250845715.jpg,Two girls at peace during a music festival.
1251898514.jpg,"Two men in a wooden boat, one wearing yellow and one wearing black, traveling on a smooth body of water."
1251898514.jpg,"Two men one in yellow the other in black riding in a boat on a river, with a bucket and an oar visible."
1251898514.jpg,A man wearing yellow and another man ride down a body of water in a wooden boat.
1251898514.jpg,A man in yellow and a man in green boating down a river on an overcast day.
1251898514.jpg,"Two men, one in yellow, are on a wooden boat."
1255846277.jpg,A big green tractor pulls a red attachment along a weeded area.
1255846277.jpg,A green tractor with a red machine on the back is in a field.
1255846277.jpg,A green John Deere tractor in a field pulling a red trailer.
1255846277.jpg,A colorful tractor in the field.
1255846277.jpg,A tractor is driving in a field.
126438084.jpg,A man in all white sitting cross-legged around big wide baskets of different vegetables in a market.
126438084.jpg,A local vegetable vendor is ready and waiting to sell his wares to customers.
126438084.jpg,A man sitting in a lotus position among several large baskets of vegetables.
126438084.jpg,"A man wearing a wife-beater, sitting around fruit in a low budget market."
126438084.jpg,A man in a white tank top is sitting among bowls of vegetables.
1269021329.jpg,"A woman works on a piece of computer equipment, while surrounded by a variety of mechanical and computer equipment, in what appears to be some type of laboratory workroom."
1269021329.jpg,A woman with long brunette hair and a beige hoodie is standing near cabinets.
1269021329.jpg,A woman in a yellow shirt works on repairing a computer monitor.
1269021329.jpg,A lady in a brown jacket trying to grab something.
1269021329.jpg,A woman is sticking her hand inside a container.
12736326.jpg,"Blond-haired woman pulling apart a watermelon, sitting atop a marble table."
12736326.jpg,A female with blond-hair is cutting a watermelon on a marble countertop.
12736326.jpg,A woman in a light blue shirt with white sleeves cuts a watermelon.
12736326.jpg,Waitress working in a restaurant cutting watermelon.
12736326.jpg,A female cutting into a watermelon.
1278818225.jpg,A man using a metal detector walking on the beach as people are in the water and on the beach.
1278818225.jpg,"A man is walking down the beach using a metal detector, on a bright sunny day."
1278818225.jpg,A man walks along a crowded beach searching for items with a metal detector.
1278818225.jpg,"A person carrying a metal-detector, walking down a busy, sandy beach."
1278818225.jpg,The man on the beach looking for stuff with metal detector.
1279422342.jpg,A boy wearing a blue shirt is outdoors and is closely examining a found object with yellow tentacles pointing upwards.
1279422342.jpg,A young boy wearing a blue t-shirt holds up an odd-looking object for inspection while standing among trees.
1279422342.jpg,A boy wearing a blue shirt is looking at a plant.
1279422342.jpg,A bewildered child examines a peculiar plant.
1279422342.jpg,A boy holds up a strange plant.
1281282435.jpg,Some young men looking over the edge of a bridge on a sunny day.
1281282435.jpg,The boys are having fun jumping off the bridge into the water.
1281282435.jpg,3 boys are standing on a pier in their bathing suits.
1281282435.jpg,A man is sitting on a wooden guard rail at a beach.
1281282435.jpg,Boys look over a bridge on to a lake.
128395625.jpg,Two people with helmets are riding bikes in front of a building.
128395625.jpg,Two people with helmets ride bikes past a wooden-paneled door.
128395625.jpg,A man and a woman are riding bikes in front of a building.
128395625.jpg,Two bicyclists with backpacks ride past a brown door.
128395625.jpg,Two people are riding bicycles next to a building.
1290525613.jpg,"Two young, barefooted boys are standing outside next to an area covered with trash; behind them are tall, green trees and shrubs."
1290525613.jpg,Two small dark-skinned children surveying a dump with green trees in the background.
1290525613.jpg,The two boys stand on a pile of rocks in front of some trees.
1290525613.jpg,Two young males are standing in front of some forestation.
1290525613.jpg,Two boys stand beside a pile of garbage on the ground.
1290894194.jpg,A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk.
1290894194.jpg,A woman with a brown dog is talking to a toddler who is sat on the ground.
1290894194.jpg,A woman squatting to face a small child while holding a dog.
1290894194.jpg,A woman in a red top and a small dog talks to a young girl.
1290894194.jpg,A woman showing a small dog to an infant
1292715668.jpg,A woman in a long black burqa walks toward a shopping area while a short-haired man with a beard walks beside her.
1292715668.jpg,A woman in traditional Islamic garb walks through a plaza with a bearded man.
1292715668.jpg,A Muslim couple is walking through a shopping center.
1292715668.jpg,The man and a lady holding their hands while walking.
1292715668.jpg,Man and women walking side by side on the street.
1295698260.jpg,"A woman with a shopping bag labeled ""sale"" stands in a crowd next to a young man with a camera."
1295698260.jpg,"A crowd of people look at something out of frame, one man takes a picture."
1295698260.jpg,A group of people stop to look at something while one takes a picture.
1295698260.jpg,The woman in glasses is holding a red and white sale bag.
1295698260.jpg,The man is taking a picture while the crowd gathers.
1296395998.jpg,Employees at a sushi restaurant prepare for dinner time rush.
1296395998.jpg,Two asian men looking down on the floor by a food buffet.
1296395998.jpg,An Asian food market where a woman is picking out food.
1296395998.jpg,Numerous Asian people working behind a counter.
1296395998.jpg,These people are cooking lots of food.
1296770308.jpg,"There a several people in a dark bar-type room, including one girl on a stool."
1296770308.jpg,A girl sitting in a dark bar.
1296770308.jpg,Dark nightclub with chairs.
1296770308.jpg,A girl sits on a bar stool.
1296770308.jpg,A woman sits at a dark bar.
129846884.jpg,A boy in blue jeans is playing with a toy car on the lawn.
129846884.jpg,A boy pulling a red ride-on toy car on a grass field.
129846884.jpg,A kid pulling a red push car toy on the grass.
129846884.jpg,A little boy in blue is pulling a toy car.
129846884.jpg,A young boy pulls a car toy up a hill.
1299459562.jpg,"Three boys in baggy bathing suits play in splashing water in front of a gray, block wall."
1299459562.jpg,Three boys in size order getting wet next to a wall
1299459562.jpg,Three shirtless boys are playing in the water.
1299459562.jpg,Three boys play in a spray of water.
1299459562.jpg,Three boys playing in some water.
129978192.jpg,A young woman draped in a wool shawl intently spinning wool outdoors in early Spring.
129978192.jpg,A young woman wearing a gray shawl is sitting outside working on creating textile.
129978192.jpg,"A girl, with a gray blanket over her shoulders, is making yarn out of wool."
129978192.jpg,A woman with braids is kneeling down and adjusting string on a machine
129978192.jpg,Women in brown weaving a long white substance.
1303157527.jpg,A food vendor is standing on the sidewalk next to his food cart looking at a black woman walking by.
1303157527.jpg,A man with a red apron and a white cook's hat is standing in front of his food cart.
1303157527.jpg,A man sells food from a cart on the street while pedestrians walk past.
1303157527.jpg,A mobile food station set up to serve patrons on the city streets.
1303157527.jpg,People are walking by a food cart in the city.
131122346.jpg,Four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls.
131122346.jpg,A smiling woman in a purple shirt and white apron wiping her hands on a napkin.
131122346.jpg,A smiling woman and several other people wear blue aprons and prepare food.
131122346.jpg,Row of people wearing aprons making food.
131122346.jpg,A group of people in aprons prepare food.
1311388430.jpg,A person hanging from a telephone pole near the mountains.
1311388430.jpg,A person is hanging in the air from the power lines.
1311388430.jpg,A person is hanging upside down from power lines.
1311388430.jpg,Someone is suspended from electrical wires.
1311388430.jpg,Person hanging upside down from poles
131632409.jpg,A girl in a bikini walks along the beach with huge clouds and a sandy beach behind her.
131632409.jpg,A young woman wearing a blue swimsuit top is standing on a sandy beach.
131632409.jpg,Beach scene with young woman in skimpy bikini top in foreground
131632409.jpg,Woman in a bikini top is walking on the beach
131632409.jpg,Young woman in a bikini top on the beach.
1330645772.jpg,A black dog is running across a low cut field nearby an area of trees.
1330645772.jpg,A large black and white dog is running through a grassy field.
1330645772.jpg,A black and white dog is running in the grass.
1330645772.jpg,A black dog runs through a field.
1330645772.jpg,A dog runs in a field.
13341510.jpg,A young male wearing a red shirt and black pants is performing a dance technique in a terminal station for travelers.
13341510.jpg,A breakdancer in red and black is pictured while in the middle of a complex move.
13341510.jpg,A man in a red shirt and black pants is breakdancing for an audience.
13341510.jpg,A man is breakdancing on the floor around a crowd of people.
13341510.jpg,A black gentleman is dancing on a tile floor.
133456953.jpg,"A female wearing a black shirt and dark blue pants is practicing gymnastics on a beam, performing a handstnad split that exposes her bellybutton."
133456953.jpg,A girl is doing a handstand on a blue balance beam with her legs spread apart and a boardwalk in the distance.
133456953.jpg,A girl does gymnastics on a balance beam on the beach with an amusement park and people in the background.
133456953.jpg,A girl doing a split handstand on the beach during the day with a amusement park in the background.
133456953.jpg,Handstand and splits on a railing with an amusement park in the background.
1335877186.jpg,"A man holding a blue backpack, reading the paper, and a woman wearing a black coat wait for their train."
1335877186.jpg,A man with a blue backpack reads the paper while waiting to board the subway.
1335877186.jpg,A man reads the paper while waiting for the subway.
1335877186.jpg,A man reading the paper waiting to get on subway.
1335877186.jpg,A man reading a newspaper next to a train.
1335877200.jpg,A crowd of people are standing on a train platform are unconcerned as a train passes them by.
1335877200.jpg,A group of people wait at a platform while a train passes them.
1335877200.jpg,A group of people are waiting for the incoming subway train.
1335877200.jpg,A group of business people stand at a train station.
1335877200.jpg,Commuters in a busy city wait for a train.
1346529555.jpg,A little brown dog stands on his hind legs with a red toy in its mouth.
1346529555.jpg,A Yorkie jumped into the air to catch a red ball in its mouth.
1346529555.jpg,A terrier who jumped up has a red ball in his mouth.
1346529555.jpg,A dog in midair cacthing the red ball.
1346529555.jpg,A dog retrieves a golf ball.
134894450.jpg,A boy wearing no shirt and some blue jeans is jumping in the air in the woods.
134894450.jpg,A guy leaps into the air in a wooded area.
134894450.jpg,A shirtless man jumps in a sunny forest.
134894450.jpg,A shirtless man jumps over a log.
134894450.jpg,The boy is jumping in the woods.
1348957576.jpg,A blond woman in a white tank top and sunglasses is talking to a man sitting next to boats on a rock surface.
1348957576.jpg,A man and a woman are sitting on the ground and surrounded by boats.
1348957576.jpg,Two people sitting beside a few small boats.
1348957576.jpg,The man and woman are sitting by the boats.
1348957576.jpg,A man and a woman sitting near small boats.
1349095760.jpg,A young boy wearing a bathing suit and rash guard runs into the ocean as the waves bubble up on the shore.
1349095760.jpg,A small boy wearing blue is walking on barefoot towards the edge of a beach as small waves hit the shore.
1349095760.jpg,A young boy on the beach running into the ocean waves.
1349095760.jpg,A boy in blue runs towards the waves in the ocean.
1349095760.jpg,A young boy in swim attire steps into the waves.
1350936809.jpg,A person sitting on a ledge with a letter in their hands.
1350936809.jpg,Man sitting in the shadows on the steps of a building.
1350936809.jpg,A man wearing sandals is sitting on the stoop.
1350936809.jpg,A man sits on steps in the shadows.
1350936809.jpg,A man is sitting on his front step.
1351939717.jpg,"People gather around a table with many red, white, and blue decorations around in the spacious tent."
1351939717.jpg,A group of people seated at a picnic table under a tent space decorated with flags and stars.
1351939717.jpg,A group of people sitting in white plastic chairs are having a picnic.
1351939717.jpg,A group of people sits at a picnic table in a white tent.
1351939717.jpg,Friends or family joined together at a barbecue.
135200870.jpg,A young girl standing next to a bowl holding an egg.
135200870.jpg,A little girl wearing pink with a raw egg in a bowl.
135200870.jpg,A sweet young lady deciding whats for breakfast!
135200870.jpg,A little girl is helping make breakfast.
135200870.jpg,A toddler with eggs in a bowl.
