image,caption
104763189.jpg,A shirtless young boy on a bicycle too big for him being supported by 3 other young shirtless boys in a grass field.
104763189.jpg,Four children are smiling as they pose together with a bicycle that is much too big for them.
104763189.jpg,An African American child is supported by his three peers while riding his bicycle.
104763189.jpg,Four children are smiling and playing on a bike
104763189.jpg,Boys all outside around a big bike.
104824673.jpg,An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance.
104824673.jpg,An African native gazes into the camera donning a hat of two corn cobs and necklaces of shells and beads.
104824673.jpg,A member of an African tribe is watching the camera intently in tribal dress.
104824673.jpg,"An African woman with piercings, lots of necklaces and corn on her head."
104824673.jpg,A person is wearing a lot of jewelry with corn on his or her head.
1057089366.jpg,A kid jumps off the diving board and into the swimming pool below.
1057089366.jpg,The boy is jumping off a high diving board into the pool.
1057089366.jpg,A child jumps off a high diving board into the pool.
1057089366.jpg,A little kid is jumping off a high dive at the pool.
1057089366.jpg,A boy descends off the end of a high diving board.
1089354362.jpg,"A girl sitting on the steps of a building wearing a green short-sleeve shirt, blue jeans, flip-flops holding a cup and writing in a journal with her purse sitting at her feet."
1089354362.jpg,"A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork."
1089354362.jpg,"A woman is sitting on the steps in front of a large black door, writing in a notebook."
1089354362.jpg,"A woman sitting down on steps, writing something down with a door behind her."
1089354362.jpg,A girl holding a coffee cup is writing outside.
10919429.jpg,A man in a black shirt and black jeans and a little boy are taking a look inside a green truck's engine while it is parked in a grass field with a gas tank in front of it.
10919429.jpg,"A male in a black shirt, and black pants, working on the engine of an old, green antique automobile, with a yellow gas canister sitting on the grass."
10919429.jpg,A young man and a toddler look under the hood of an old-fashioned truck.
10919429.jpg,A man and children work on the engine of an old truck.
10919429.jpg,Man working on old truck while child watches.
1104087374.jpg,"A couple is sitting on the sand with their feet in the water, and they are shaking hands."
1104087374.jpg,A man and woman wearing sunglasses sit halfway in the water.
1104087374.jpg,A boy and a girl holding hands while sitting on a shore.
1104087374.jpg,A couple with sunglasses are laying on the beach.
1104087374.jpg,A blond holding hands with a guy in the sand.
110600869.jpg,A little girl in a blue jeans vest is running across the grass and laughing.
110600869.jpg,A little girl with a blue jean jacket smiling while running in a field.
110600869.jpg,A little girl with a jean jacket on is running and laughing.
110600869.jpg,A little girl in a denim jacket running through a field.
110600869.jpg,A little girl is running on the grass and smiling.
110637863.jpg,"A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him."
110637863.jpg,"A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates, while an opposing player in red reaches for the ball."
110637863.jpg,"The green team lifts a player up in victory after a hard game, but will the red team interfere?"
110637863.jpg,A soccer player in green is held high above his teammates and opponents in red.
110637863.jpg,Rugby player lifted to attempt a score against a red team defending.
111419142.jpg,Several young people are standing around drinking beverages at some kind of outdoors gathering with food.
111419142.jpg,There are many people wearing either jackets or layers drinking beer or diet Coke.
111419142.jpg,A group of people wearing warm clothes are having a party outside.
111419142.jpg,People enjoy a gathering with Pabst Blue Ribbon and Diet Coke.
111419142.jpg,A gathering of people drinking beer and talking
1142847777.jpg,A woman in a blue helmet and brown shorts rides her bike on a busy street.
1142847777.jpg,A woman wearing a blue helmet rides her bicycle in a parking lot.
1142847777.jpg,A woman is riding her bicycle in traffic
1142847777.jpg,A bicyclist riding on a city street.
1142847777.jpg,A woman is riding a blue bike.
114939325.jpg,A girl wearing flip-flop sandals swinging on a swing set in a park underneath fluffy white clouds.
114939325.jpg,A woman in a pink jacket is swinging on a swing-set with some trees in the background.
114939325.jpg,The young girl is swinging high above the ground on a nice summer day.
114939325.jpg,A young woman plays on a swing set while trees sway in the background.
114939325.jpg,A young girl swinging very high on playground swing set.
1153704539.jpg,A young girl wearing a blue shirt marching in a band playing a trumpet
1153704539.jpg,Girl wearing blue shirt and black shorts plays trumped outside.
1153704539.jpg,A teenager plays her trumpet on the field at a game.
1153704539.jpg,A girl playing trumpet in a marching band.
1153704539.jpg,Girl playing the trumpet in a marching band
1162606352.jpg,An Asian woman and an African American woman are displaying their culinary dishes.
1162606352.jpg,Two women stand together holding a pot and a pan of food.
1162606352.jpg,Two girls with pots show off their cooking.
1162606352.jpg,Friend show you what they have cooked.
1162606352.jpg,Two women are cooking together
1167144956.jpg,A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area.
1167144956.jpg,Young man showing off by performing a karate move for surprised girl.
1167144956.jpg,A young man is performing gymnastics to impress a young woman.
1167144956.jpg,Showing one how to do a jump withe being watched.
1167144956.jpg,A man practicing karate moves in the air.
116734115.jpg,Man in dimly lit kitten cutting on the counter next to stove
116734115.jpg,Man slices food next to a gas oven in a dimly lit kitchen.
116734115.jpg,A man fixes food in his dark kitchen.
116734115.jpg,A man is chopping beside a stove.
116734115.jpg,A man eating in a messy kitchen.
117956563.jpg,"Restaurant workers smile as they take a break, gathered around a huge copper bowl in the kitchen."
117956563.jpg,Two bakery employees wearing red aprons are preparing food.
117956563.jpg,A group of restaurant workers and a large copper bowl.
117956563.jpg,Three black men in aprons are working in a restaurant.
117956563.jpg,Three workers smiling in a restaurant setting.
1182733666.jpg,"Four men, one in a long blue robe, looking like they are doing laundry in a muddy pit in a 3rd world country."
1182733666.jpg,One man in a blue shirt is operating a watering hose and another man in a brown shirt is moving tarps.
1182733666.jpg,Four men use hoses to pour water while in an austere environment.
1182733666.jpg,Men filling concrete basins with water and canvas like material.
1182733666.jpg,Four men that appear to excavating old ruins.
1184340890.jpg,A family coming back from shopping and a gentlemen is reading his newspaper to the side of the street.
1184340890.jpg,Three men and two women walk down an outdoor hallway past a man sitting on a step reading a newspaper.
1184340890.jpg,An old man is sitting on a stoop while people walk towards him with groceries.
1184340890.jpg,An old man is reading the paper despite crushing feelings of loneliness.
1184340890.jpg,A group of people walks home carrying plastic shopping bags.
1186128541.jpg,A woman in a white hat is conversing with another woman with a bike on a busy street.
1186128541.jpg,A busy street with lots of people standing around talking and two are holding bikes.
1186128541.jpg,"Two woman are standing next to each other, one holding onto a bicycle."
1186128541.jpg,Two woman stop and talk in the downtown area.
1186128541.jpg,People walking around at a downtown festival.
1187077747.jpg,This picture of a man reading is tilted.
1187077747.jpg,A man looks at a book on a sunny day.
1187077747.jpg,A man is reading a small book.
1187077747.jpg,A man reading a book outside.
1187077747.jpg,Man reading book outdoors.
1188199432.jpg,Several children sit on a carnival ride in front of the face of a clown and several fake balloons.
1188199432.jpg,A group of children are riding a children's ride with a clown and a lot of ballons on it.
1188199432.jpg,Five small children are riding a ride that lifts them up and brings them down.
1188199432.jpg,Five little kids are taking a ride in some type of amusement park.
1188199432.jpg,Five children are on a carnival ride under a clown face.
118865844.jpg,A woman wearing a pink sweater and eyeglasses is wiping a wooden table with a pink sponge.
118865844.jpg,"A woman in a pink sweater and an apron, cleaning a table with a sponge."
118865844.jpg,A lady with blond-hair and glasses works hard to clean up her table.
118865844.jpg,A woman in a pink sweater cleaning a dining table.
118865844.jpg,A woman in a pink shirt cleaning a wooden table.
118939364.jpg,Redhead woman in pigtails and glasses sewing on a sewing machine.
118939364.jpg,A woman in a brown sweater is sewing on her machine.
118939364.jpg,A woman with glasses uses a sewing machine.
118939364.jpg,The woman in the brown sweater is sewing.
118939364.jpg,A woman using a sewing machine.
1229756013.jpg,A dog leaps into the air in a grassy field surrounded by trees.
1229756013.jpg,A brown dog jumping into the air to catch a ball.
1229756013.jpg,A brown dog jumping in the air on a brown plain.
1229756013.jpg,A brown dog leaping to catch a ball.
1229756013.jpg,A coppery dog leaps to catch a ball.
1234638761.jpg,A man in a black shirt shares something with a group of girls sitting on a bench.
1234638761.jpg,A group of young people are hanging out together outside in a commercial area.
1234638761.jpg,Four Asian women sitting on a bench while a man talks to them.
1234638761.jpg,A teenage boy is talking to a group of teenage girls.
1234638761.jpg,Girls sitting on a bench talking to a guy.
123628218.jpg,"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf."
123628218.jpg,A group of three individuals are working in a cluttered office setting.
123628218.jpg,Three people are working on computers in a crowded office.
123628218.jpg,Three people working together in a compact space.
123628218.jpg,People working on their computers and papers.
1252787177.jpg,Three pairs of different-colored underwear hanging from a clothesline with people and cars in the background
1252787177.jpg,Three pairs of women's underwear are hanging on a wire under an awning.
1252787177.jpg,Three pairs of underpants are hanging from a line under a red shelter.
1252787177.jpg,People walk by a display of underwear hanging in a stall.
1252787177.jpg,Three pairs of granny panties hanging on a line.
1255599434.jpg,Two young boys in swimming trunks are in the water looking at each other.
1255599434.jpg,Three children wearing swim trunks and no shirts play in the surf.
1255599434.jpg,Three children playing in the wake of the ocean.
1255599434.jpg,Two boys playing in the water wearing shorts.
1255599434.jpg,Three boys playing in the ocean.
126378326.jpg,"Children are climbing and digging in the sand at a makeshift playground, which features a structure made from tires."
126378326.jpg,A little boy climbs on a stack of tractor tires at a playground.
126378326.jpg,A little boy climbs a tire structure on a playground.
126378326.jpg,Kids playing at a playground on a stack of tires
126378326.jpg,A small boy is sitting on a stack of tires.
1265501253.jpg,A woman in jeans and a hoodie on a subway sleeping while others ride along.
1265501253.jpg,A woman in a polka dotted jacket is asleep on a train full of people
1265501253.jpg,A woman on a subway is falling asleep.
1265501253.jpg,A woman is asleep in a subway car.
1265501253.jpg,A woman sleeping on the subway.
1266359954.jpg,A woman seated on the subway wearing blue jeans and a black shirt with small designs has her head bent down to her knees.
1266359954.jpg,A woman in a sweater and blue jeans leans over and catches some sleep on the subway.
1266359954.jpg,Several travelers either standing or sitting on what appears to be a subway car.
1266359954.jpg,"A woman on the subway, leaning over with her head on her knee taking a nap."
1266359954.jpg,Women sleeping with her head on her lap on subway.
1269844288.jpg,Woman adjusting her boot near a large crowd of people at an outdoor event.
1269844288.jpg,Women bending over to adjust her boots with a large crowd in front of her.
1269844288.jpg,A woman pulling up her socks underneath her gum boots.
1269844288.jpg,A woman realigns her sock in a messy park.
1269844288.jpg,People in the ground maybe working
1271210445.jpg,A birthday celebration taking place for a girl who has reached age 5.
1271210445.jpg,Boy and his family celebrating his birthday with a brightly lit cake.
1271210445.jpg,Girls seated at table with a candle covered with lit candles
1271210445.jpg,"Woman and four little girls, near cake with candles."
1271210445.jpg,Smiling children gathered around a birthday cake
127146749.jpg,"A green train getting ready to enter a tunnel, along with the train conductor who is wearing a blue hat and shirt."
127146749.jpg,This is a railroad engineer working on a green and red tourism train in a theme park.
127146749.jpg,A man is sitting on a green train that is about to go through a tunnel.
127146749.jpg,A small tourist train approaching a tunnel.
127146749.jpg,A man driving a green miniature train.
1277185009.jpg,A topless person with a backpack is shown against on a pile of rocks with a cloudy background.
1277185009.jpg,A man standing on a rocky mountain with gray clouds in the background.
1277185009.jpg,A man without a shirt is walking on top of lots of rocks.
1277185009.jpg,A shirtless man is walking on a rocky hill
1277185009.jpg,A shirtless man with a backpack.
128097991.jpg,An African child attempts a headstand on the front of a boat painted blue and white in water next to a field of crops.
128097991.jpg,"Boy with dark skin, standing on his head with legs spread, at the end of a floating wooden boat."
128097991.jpg,A boy wearing a bathing suit is doing a handstand while in a canoe.
128097991.jpg,A boy stands on his head at the bow of a canoe.
128097991.jpg,A young boy does a handstand on his canoe.
1287704027.jpg,A woman wearing a short-sleeved striped shirt and carrying a green shopping bag examines fish in an open air market while a vendor in a white apron over a gray t-shirt hands her an empty plastic bag.
1287704027.jpg,An employee is handing a woman a bag while she is browsing through fish on ice at a street market.
1287704027.jpg,A woman at a fish market is looking at the fish that are frozen.
1287704027.jpg,The woman is at marketplace buying fish from an Arabic person.
1287704027.jpg,A lady in a striped shirt is shopping at a fish market.
1295669416.jpg,A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden.
1295669416.jpg,A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant.
1295669416.jpg,A girl dressed in a red and black top with black pants is sitting on a wall.
1295669416.jpg,A lady in a red and black striped shirt is sitting on a retaining wall.
1295669416.jpg,A woman in semi-formal attire is sitting on a concrete wall.
1298866571.jpg,Man in suit is using his cellphone while sitting on a train.
1298866571.jpg,A serious looking young man with a suit holds a cellphone.
1298866571.jpg,A man in a suit holds his cellphone in the air.
1298866571.jpg,A young Asian man is looking at his cellphone.
1298866571.jpg,A asian man gives an evil eye to the camera.
1301292439.jpg,"A married, left handed woman wearing a long-sleeved red shirt is applying makeup in mirror."
1301292439.jpg,A woman looks stone-faced in the mirror as she applies eyeliner.
1301292439.jpg,A woman carefully applies makeup in front of a mirror.
1301292439.jpg,A woman applying mascara to her eyelashes.
1301292439.jpg,A beautiful women are making your eyes.
130163559.jpg,"A cowboy in the rodeo arena holds on tightly as the bucking bronco tries to throw him off, while rodeo helpers and the audience look on."
130163559.jpg,There is a man on a bucking horse holding on tightly while the crowd watches at a rodeo.
130163559.jpg,A cowboy leans back as he tries to avoid being thrown by the bucking bronco.
130163559.jpg,A cowboy is riding a brown bucking bronco in an arena full of people.
130163559.jpg,Cowboy riding a bucking horse in a rodeo competition.
1303550623.jpg,A young woman in jeans and a tank top standing on railroad tracks.
1303550623.jpg,A girl in a tank top and jean capris stands on railroad tracks.
1303550623.jpg,A girl is standing barefoot on the railroad tracks
1303550623.jpg,Girl is standing out on the train tracks.
1303550623.jpg,A girl stands in the train tracks.
1327764519.jpg,"A man with a large horn sitting in front of an Calvin Klein Steel, featuring a black man staring on."
1327764519.jpg,A man in sitting in front of a large Calvin Klein steel advertisement with a long instrument.
1327764519.jpg,A man playing an exotic instrument is sitting in front of a Calvin Klein advertisement.
1327764519.jpg,Man playing didgeridoo in front of Calvin Klein ad on street.
1327764519.jpg,A man playing an instrument.
1351764581.jpg,"A fireman sprays inside the open hood of small white car, on a jack."
1351764581.jpg,A fireman using a firehose on a car engine that is up on a carjack.
1351764581.jpg,A fireman spraying water into the hood of small white car on a jack
1351764581.jpg,Firefighter uses water to extinguish a car that was on fire.
1351764581.jpg,A firefighter extinguishes a fire under the hood of a car.
1362097957.jpg,A woman sits in a chair under a tree and plays an acoustic guitar.
1362097957.jpg,A lady sitting by a tree on a homemade stage playing a guitar.
1362097957.jpg,"A woman playing a guitar on a makeshift stage, under a tree."
1362097957.jpg,Girl playing acoustic guitar on homemade milk crate stage.
1362097957.jpg,A young lady playing guitar on a stage in a park.
1362882269.jpg,A shirtless man in a blue hat and sunglasses runs waist-deep through a large body of water.
1362882269.jpg,A man with a blue hat and blue with red polka dotted bottoms on is running into the water.
1362882269.jpg,A man with blue shorts and a blue had running through water that is thigh deep.
1362882269.jpg,A man wearing a hat is running through water
1362882269.jpg,A man splashes playfully in a lake.
136310496.jpg,"A black person in a white shirt and headscarf is plowing a field behind two yoked cattle, one tan and one dark brown, with blue-painted horns."
136310496.jpg,"Two animals yoked together pulling a plow, with a man behind them."
136310496.jpg,A black person tends to the farmland with animals to sow seeds.
136310496.jpg,A man in a white shirt is plowing a field with two mules.
136310496.jpg,A person is riding a plow pulled by two oxen.
1365896144.jpg,A woman in a blue blouse leans over a pool table with her cue in hand and an eight ball on the table.
1365896144.jpg,A woman in blue and purple clothing playing pool.
1365896144.jpg,A girl playing pool at a pool hall.
1365896144.jpg,A girl in a silk shirt plays pool
1365896144.jpg,A young woman is playing pool.
1385492203.jpg,A group of four young men and one young woman holding spray paint cans and smiling next to their artwork.
1385492203.jpg,A group of friends stand in front of art they have sprayed for a picture.
1385492203.jpg,A group of men and a woman are standing with spray paint cans.
1385492203.jpg,A group of young adults spray paint large art boards.
1385492203.jpg,Five youngsters making graffiti.
1405665934.jpg,"A woman in a white jacket and pink shorts is sitting down, reading a book with her head resting on her right hand."
1405665934.jpg,"Sitting casually in a public place, a girl reads holding the book open with her hand on which is a butterfly ring."
1405665934.jpg,A woman is sitting in a chair reading a book with her head resting on her free hand.
1405665934.jpg,"A woman with a white jacket, and a silver butterfly ring, waits and reads a book."
1405665934.jpg,Woman in white sweater reading intently sitting on a bench.
1408677769.jpg,"A woman is lunged forward, about to hit a volleyball on the beach while onlookers sit in the stands."
1408677769.jpg,"A woman, dressed in a yellow blouse and black panties, is playing beach volleyball."
1408677769.jpg,A woman playing beach volleyball is diving for the ball as it falls towards the sand.
1408677769.jpg,The woman jumps to hit the blue and white volleyball before it lands in the sand.
1408677769.jpg,A blond woman is reaching to complete a dig while playing beach volleyball.
1409731198.jpg,Many people are gathered under a large white tent for an event.
1409731198.jpg,A group of people are gathered under a large outdoor tent.
1409731198.jpg,A large amount of people at an outdoor festival.
1409731198.jpg,People at an affair outside under a tent.
1409731198.jpg,People under a tent at a reception.
141372871.jpg,A photo of a happy gentleman driving what looks like a large truck.
141372871.jpg,A gentleman laughs in his car while driving on the countryside.
141372871.jpg,A smiling man in a green shirt driving a vehicle.
141372871.jpg,A man smiling as he is driving a large truck.
141372871.jpg,A man is driving a vehicle.
1421047822.jpg,A clown wearing a red nose and black hat with a powdered white face and an asian man wearing sunglasses rest their hands on their chins.
1421047822.jpg,A man dressed as a clown and a young man wearing sunglasses pretend to ponder something seriously.
1421047822.jpg,A clown and a average looking man with sunglasses looking perplexed.
1421047822.jpg,A man in sunglasses poses next to a man dressed as a clown.
1421047822.jpg,A man beside a clown with other people in the background.
1422951807.jpg,A young woman wearing glasses is eating a piece of chicken.
1422951807.jpg,A woman sharing food with another person.
1422951807.jpg,Two people are eating a meal together.
1422951807.jpg,A woman shares her meal with another.
1422951807.jpg,A woman eating food with her hands.
1425069590.jpg,A small girl dressed in yellow wearing flip-flops climbing onto red playground equipment.
1425069590.jpg,A little girl dressed in yellow is holding onto two red handles.
1425069590.jpg,A girl begins to climb a red piece of playground equipment.
1425069590.jpg,A young girl makes her way onto red recreational equipment.
1425069590.jpg,A little girl climbing at a playground.
143263604.jpg,Several people sit in on blankets in a park with blooming pink cherry blossoms.
143263604.jpg,A group of women lounge on towels on beautiful green grass on a sunny day.
143263604.jpg,A group of girls sitting on blankets in a park area reading books.
143263604.jpg,People enjoy picnics in park on nice warm day.
143263604.jpg,Four people are lounging in a park.
1435242484.jpg,A woman is laying down on her couch with covers making a kiss face while playing with a man's hair.
1435242484.jpg,"A woman in a blue shirt, covered with a blanket is sitting on the couch."
1435242484.jpg,Blond woman lounging on a couch pursing her lips.
1435242484.jpg,A middle-aged blond lounging on a sofa.
1435242484.jpg,A woman and man are lying on a couch.
1437408671.jpg,A man in a black suit and a woman wearing a white dress and holding flowers getting married
1437408671.jpg,A man and a woman that is holding flowers smile in the sunlight.
1437408671.jpg,A man and a woman get married in a wedding ceremony.
1437408671.jpg,A happy couple enjoying their open air wedding.
1437408671.jpg,A man and woman getting married.
1448511770.jpg,A Jack Russell Terrier is measured for distance jumping as he tries to catch a Frisbee.
1448511770.jpg,A small dog is jumping high in the air to catch a Frisbee in front of some bleachers
1448511770.jpg,A white dog catches a Frisbee in a jumping pool.
1448511770.jpg,A white dog jumps really high to get his fribee.
1448511770.jpg,A white dog jumping in the air to catch a Frisbee
1449758127.jpg,"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ."
1449758127.jpg,A man in blue shorts is at the beach and is making some sand art in the shape of a person.
1449758127.jpg,"A man, using a sprayer on a sand sculpture by a large body of water."
1449758127.jpg,A man is spraying a design into sand
1449758127.jpg,A man making a sand sculpture.
145721496.jpg,A long-necked bird standing on a rock with waves crashing in the background.
145721496.jpg,A bird is standing on a rock overlooking a waterfall.
145721496.jpg,A long-necked bird standing on rocks by river rapids.
145721496.jpg,An egret stands on a rock at the edge of a river.
145721496.jpg,A bird watches the waves crash over the rocks.
146343683.jpg,Two parents sit on a couch while a girl in a pink sweater lounges across them.
146343683.jpg,A man a woman and a child sitting on a couch smiling
146343683.jpg,A family of 3 sits and poses on a couch together.
146343683.jpg,"A male, female, and young girl are on a couch."
146343683.jpg,A family sitting on a couch.
1463732130.jpg,We cannot see the face of the girl with the white T-shirt and blue jeans.
1463732130.jpg,The girl in blue jeans and white shirt is balancing on one leg.
1463732130.jpg,A girl in a white shirt jumps on a trampoline.
1463732130.jpg,A young girl jumping on an enclosed trampoline
1463732130.jpg,A young girl bouncing on a trampoline.
1464745948.jpg,An attractive girl with a cigarette in one hand leaning over and showing lots of cleavage.
1464745948.jpg,A woman in a white blouse holds a cigarette and talks to someone.
1464745948.jpg,A woman smoking a cigarette leaning over talking with someone.
1464745948.jpg,A woman dressed as a barmaid leans over while smoking.
1464745948.jpg,A female in a costume is smoking a cigarette.
1470061031.jpg,Two light golden colored dogs playfully wrestle together on the brick area.
1470061031.jpg,Two pale brown dogs tussling on paved ground.
1470061031.jpg,Two dogs are fighting on brick pavement.
1470061031.jpg,Two dogs playing with each other
1470061031.jpg,Two brownish dogs are fighting.
1472550839.jpg,People are walking around in a nighttime environment.
1472550839.jpg,A group of children are walking together on a porch.
1472550839.jpg,People are running outside of a building at night.
1472550839.jpg,Four people standing near a wall at night.
1472550839.jpg,People outside a building in the dark.
1473250020.jpg,A man who is wearing only shorts and shoes is standing on rocks with the water below him.
1473250020.jpg,A young man in shorts is looking into a stream next to a rock wall.
1473250020.jpg,A man is standing by rocks and water and is holding a stick.
1473250020.jpg,The man is standing by a creek in blue flannel shorts.
1473250020.jpg,"A boy stands on a rock in a creek, holding a stick."
14799369.jpg,White male squirting lighter fluid on charcoal grill coals while drinking a beer and smoking a cigarette in the woods.
14799369.jpg,A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill.
14799369.jpg,A young man is starting a barbecue while drinking beer in a wooded area.
14799369.jpg,Man with cigarette and beer pouring lighter fluid on a barbecue pit.
14799369.jpg,Man holding beer while pouring fluid into grille.
1483804641.jpg,A janitor dressed in white is using a dust mop to clean a floor.
1483804641.jpg,A man in a white apron and sandals is dry mopping a floor.
1483804641.jpg,Man in white uniform mops the floor.
1483804641.jpg,Man in white cleans the floor.
1483804641.jpg,A man cleaning the floor.
1490213660.jpg,A male weimaraner with a clipped tail is walking through a river.
1490213660.jpg,The brown dog is walking through a river surrounded by bushes.
1490213660.jpg,A light colored dog is walking through a stream.
1490213660.jpg,A dog is trotting through a shallow stream
1490213660.jpg,A tan dog walking along in a stream
149806768.jpg,Two women in white shirts and dark pants are working with cloth.
149806768.jpg,Two women show traditional sewing and crafting techniques.
149806768.jpg,Two ladies working on crafts on the floor of their home.
149806768.jpg,Two women sitting on the ground knitting.
149806768.jpg,Black women make cloths in their home.
14989976.jpg,"A young, blond boy sitting in a white chair beside cactus plants is eating a sandwich."
14989976.jpg,A little boy site in a white rocking chair eating a sandwich out of a child's plate.
14989976.jpg,A young boy eats a sandwich on his family's porch.
14989976.jpg,Blond boy eating a sandwich on a white chair.
14989976.jpg,A young boy sits while eating.
1500989694.jpg,A dark-haired woman wearing a gray shirt with a creme shirt over it and jeans walking down the parking lot past a blue car.
1500989694.jpg,A woman looks down in a steeply-angled asphalt parking lot next to a blue-roofed building.
1500989694.jpg,A woman in a white sweater crossing the street.
1500989694.jpg,Woman standing in a parking lot by vehicles.
1500989694.jpg,A girl walks downhill past some parked cars.
1517340899.jpg,A young blond girl with a pink shirt on jumps high into the air while kicking her foot out and sticking her tongue out.
1517340899.jpg,The girl in a pink shirt jumps high over the grass.
1517340899.jpg,The blond girl is jumping up in the air.
1517340899.jpg,A girl jumping in the grass.
1517340899.jpg,A girl jumps in the grass.
152881593.jpg,"A man wearing a black jacket stands, holding an open book in front of a chalkboard and globe."
152881593.jpg,A man in a black leather jacket and a book in his hand speaks in a classroom.
152881593.jpg,A man in a leather jacket reads from a book to people in a classroom
152881593.jpg,A man is holding a book standing in front of a chalkboard.
152881593.jpg,A man in a black jacket reading aloud.
1538738682.jpg,A child is sleeping in the front passenger seat of a car with the window slightly open.
1538738682.jpg,A child sleeps viewed through a window of a car which is cracked slightly.
1538738682.jpg,A young child is sleeping inside a vehicle that is parked outside.
1538738682.jpg,A child asleep in a car with the window open
1538738682.jpg,A child is sleeping in a car.
154789578.jpg,"A black man in a dress shirt is looking through a microscope, while a poster about blood cells is on the wall in the background."
154789578.jpg,One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.
154789578.jpg,A man with a shaved head and a button-up shirt looks into a microscope near a poster about red blood cells.
154789578.jpg,A black scientist looks through a scope examining a biological specimen's blood cells.
154789578.jpg,A man is working in a blood lab evaluating some specimens.
1561246336.jpg,An older man and woman are holding a large statue in a white studio.
1561246336.jpg,"Two older men, in a white room, play with a marble sculpture."
1561246336.jpg,2 sculptors arrange the mounting on a new piece of art.
1561246336.jpg,Two people working on a sculpture in an art studio.
1561246336.jpg,2 artists creating a new piece on a table
1571528274.jpg,A group of people in what appears to be traditional Scottish clothing are pictured midair during some kind of dance.
1571528274.jpg,Multiple people do a synchronized dance involving jumping.
1571528274.jpg,A group of people are performing a dance in the street.
1571528274.jpg,A crowd of people are jumping off the pavement.
1571528274.jpg,People having a good time dancing
1577667570.jpg,A young woman in sweatpants looks behind her while standing near the public toilets.
1577667570.jpg,A woman in a black shirt is standing next to the public toilets.
1577667570.jpg,A woman stretches her calves next to a public restroom.
1577667570.jpg,A woman in sweatpants is standing by the toilets.
1577667570.jpg,A woman standing outside two unisex bathrooms.
1578427672.jpg,A small girl is unwrapping a green present with toys strewn around.
1578427672.jpg,A little blond girl opens a package wrapped in green paper.
